model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L3,0.8986851385051561,roc_auc,4.0216288566589355,593.8685681819916,0.001619577407836914,0.7469041347503662,3,True,94
WeightedEnsemble_L2,0.8978476395942299,roc_auc,0.6065733432769775,325.08123564720154,0.002031564712524414,0.7540287971496582,2,True,53
CatBoost_r69_BAG_L2,0.8968026388595733,roc_auc,3.4970993995666504,495.48402428627014,0.05967855453491211,23.199102878570557,2,True,83
CatBoost_r177_BAG_L2,0.8967552982222651,roc_auc,3.4974679946899414,487.85805082321167,0.060047149658203125,15.573129415512085,2,True,64
CatBoost_r9_BAG_L2,0.8964307359135543,roc_auc,3.514003038406372,530.0087788105011,0.07658219337463379,57.723857402801514,2,True,67
CatBoost_r13_BAG_L2,0.8962597039141207,roc_auc,3.4996068477630615,515.705041885376,0.06218600273132324,43.42012047767639,2,True,73
CatBoost_r137_BAG_L2,0.8962310763772164,roc_auc,3.4992175102233887,489.3272774219513,0.06179666519165039,17.04235601425171,2,True,72
CatBoost_BAG_L2,0.8961759890901668,roc_auc,3.5044445991516113,496.44949316978455,0.06702375411987305,24.16457176208496,2,True,58
CatBoost_r167_BAG_L2,0.8960317037538319,roc_auc,3.4974637031555176,500.2105073928833,0.0600428581237793,27.925585985183716,2,True,89
CatBoost_r50_BAG_L2,0.8960248656617764,roc_auc,3.5010719299316406,485.52045130729675,0.06365108489990234,13.235529899597168,2,True,80
CatBoost_r70_BAG_L2,0.8959738110956827,roc_auc,3.507333755493164,499.13679361343384,0.06991291046142578,26.851872205734253,2,True,86
XGBoost_r89_BAG_L2,0.8954478677729139,roc_auc,3.49651837348938,477.56735134124756,0.0590975284576416,5.282429933547974,2,True,76
XGBoost_BAG_L1,0.894928746602592,roc_auc,0.04830217361450195,3.635690212249756,0.04830217361450195,3.635690212249756,1,True,8
LightGBM_r15_BAG_L2,0.8945137748343484,roc_auc,3.4910669326782227,477.4599976539612,0.053646087646484375,5.175076246261597,2,True,92
LightGBM_r161_BAG_L2,0.8943027025383093,roc_auc,3.5352416038513184,493.74731063842773,0.09782075881958008,21.46238923072815,2,True,85
LightGBM_r131_BAG_L2,0.8942384818555771,roc_auc,3.525416612625122,481.56007385253906,0.08799576759338379,9.275152444839478,2,True,66
XGBoost_r98_BAG_L2,0.8940417711468157,roc_auc,3.572944164276123,490.1198935508728,0.13552331924438477,17.834972143173218,2,True,91
CatBoost_r70_BAG_L1,0.8937870402630367,roc_auc,0.07671999931335449,34.829365968704224,0.07671999931335449,34.829365968704224,1,True,33
LightGBM_r196_BAG_L2,0.8937668447790401,roc_auc,4.027781963348389,497.1163578033447,0.5903611183166504,24.83143639564514,2,True,87
XGBoost_r89_BAG_L1,0.8937279202550312,roc_auc,0.05562639236450195,3.5983481407165527,0.05562639236450195,3.5983481407165527,1,True,23
LightGBM_r96_BAG_L2,0.8936715577992997,roc_auc,3.5364491939544678,477.3721489906311,0.09902834892272949,5.0872275829315186,2,True,68
LightGBM_BAG_L2,0.8936092658091986,roc_auc,3.4820287227630615,479.0693871974945,0.04460787773132324,6.784465789794922,2,True,55
LightGBM_r15_BAG_L1,0.8935166248044727,roc_auc,0.07846784591674805,4.731947660446167,0.07846784591674805,4.731947660446167,1,True,39
XGBoost_r33_BAG_L2,0.8935161466162171,roc_auc,3.5262291431427,487.83972334861755,0.08880829811096191,15.554801940917969,2,True,70
NeuralNetTorch_r22_BAG_L2,0.8934751818223174,roc_auc,3.62740421295166,529.8195476531982,0.18998336791992188,57.53462624549866,2,True,69
XGBoost_r194_BAG_L2,0.8934742892042403,roc_auc,3.508730173110962,478.42927956581116,0.07130932807922363,6.144358158111572,2,True,81
XGBoost_BAG_L2,0.8933810106151736,roc_auc,3.4909284114837646,478.6349639892578,0.05350756645202637,6.3500425815582275,2,True,61
CatBoost_r137_BAG_L1,0.8933339728304271,roc_auc,0.05742979049682617,31.65337610244751,0.05742979049682617,31.65337610244751,1,True,19
LightGBMLarge_BAG_L2,0.8930908619212603,roc_auc,3.4772422313690186,483.56298089027405,0.03982138633728027,11.278059482574463,2,True,63
NeuralNetTorch_r31_BAG_L1,0.8930728501636312,roc_auc,0.09289765357971191,53.06458854675293,0.09289765357971191,53.06458854675293,1,True,51
CatBoost_BAG_L1,0.8930634936134293,roc_auc,0.06825923919677734,37.95099067687988,0.06825923919677734,37.95099067687988,1,True,5
ExtraTreesEntr_BAG_L2,0.8930375439307566,roc_auc,3.7402520179748535,472.9496102333069,0.30283117294311523,0.6646888256072998,2,True,60
LightGBM_r130_BAG_L2,0.8929939012826251,roc_auc,3.474365711212158,478.8104901313782,0.03694486618041992,6.525568723678589,2,True,78
RandomForestEntr_BAG_L2,0.8928424909412814,roc_auc,3.7258806228637695,475.1631851196289,0.28845977783203125,2.8782637119293213,2,True,57
ExtraTrees_r172_BAG_L2,0.8928213072015566,roc_auc,3.70640230178833,473.95505237579346,0.2689814567565918,1.670130968093872,2,True,82
ExtraTreesGini_BAG_L2,0.8928011435967771,roc_auc,3.739881753921509,472.95659375190735,0.3024609088897705,0.6716723442077637,2,True,59
CatBoost_r69_BAG_L1,0.8927661561560729,roc_auc,0.06018781661987305,27.4560227394104,0.06018781661987305,27.4560227394104,1,True,30
NeuralNetTorch_r30_BAG_L2,0.8927513004409311,roc_auc,3.6361093521118164,550.1309106349945,0.19868850708007812,77.84598922729492,2,True,77
LightGBM_r188_BAG_L2,0.8927368750952193,roc_auc,3.4926934242248535,481.26428484916687,0.055272579193115234,8.979363441467285,2,True,75
CatBoost_r50_BAG_L1,0.8927254782751266,roc_auc,0.0629110336303711,14.368616580963135,0.0629110336303711,14.368616580963135,1,True,27
NeuralNetTorch_r22_BAG_L1,0.8926595520542824,roc_auc,0.11955451965332031,97.0588731765747,0.11955451965332031,97.0588731765747,1,True,16
LightGBMXT_BAG_L2,0.8924765653484579,roc_auc,3.4834158420562744,477.38560605049133,0.04599499702453613,5.100684642791748,2,True,54
CatBoost_r128_BAG_L1,0.8924331617944543,roc_auc,0.06369447708129883,39.77182054519653,0.06369447708129883,39.77182054519653,1,True,50
CatBoost_r177_BAG_L1,0.8924060963391851,roc_auc,0.05145716667175293,17.909417629241943,0.05145716667175293,17.909417629241943,1,True,11
LightGBM_BAG_L1,0.8921888394750398,roc_auc,0.03768610954284668,3.8481345176696777,0.03768610954284668,3.8481345176696777,1,True,2
CatBoost_r9_BAG_L1,0.8921486557219576,roc_auc,0.07266736030578613,47.26307988166809,0.07266736030578613,47.26307988166809,1,True,14
CatBoost_r49_BAG_L1,0.8921429812213241,roc_auc,0.05119037628173828,14.402844190597534,0.05119037628173828,14.402844190597534,1,True,43
CatBoost_r167_BAG_L1,0.8921241406040519,roc_auc,0.06532764434814453,29.961238384246826,0.06532764434814453,29.961238384246826,1,True,36
NeuralNetTorch_r30_BAG_L1,0.8919807957046199,roc_auc,0.1225736141204834,87.31633305549622,0.1225736141204834,87.31633305549622,1,True,24
NeuralNetTorch_r41_BAG_L1,0.8919509089386424,roc_auc,0.10146498680114746,35.481754302978516,0.10146498680114746,35.481754302978516,1,True,37
NeuralNetTorch_r143_BAG_L1,0.891896746148887,roc_auc,0.11185789108276367,98.13228964805603,0.11185789108276367,98.13228964805603,1,True,49
NeuralNetTorch_r79_BAG_L2,0.8918090783020198,roc_auc,3.6362736225128174,531.608327627182,0.1988527774810791,59.32340621948242,2,True,65
NeuralNetTorch_BAG_L2,0.8917036537312599,roc_auc,3.630331516265869,507.8543932437897,0.19291067123413086,35.56947183609009,2,True,62
CatBoost_r86_BAG_L1,0.8915097962124239,roc_auc,0.06279945373535156,52.186378717422485,0.06279945373535156,52.186378717422485,1,True,41
LightGBMLarge_BAG_L1,0.891355787714891,roc_auc,0.05148959159851074,9.818976879119873,0.05148959159851074,9.818976879119873,1,True,10
CatBoost_r13_BAG_L1,0.8911366659165487,roc_auc,0.0648493766784668,69.69122123718262,0.0648493766784668,69.69122123718262,1,True,20
LightGBM_r131_BAG_L1,0.8907012436305723,roc_auc,0.15359807014465332,9.396788835525513,0.15359807014465332,9.396788835525513,1,True,13
XGBoost_r194_BAG_L1,0.8905903039552641,roc_auc,0.06378650665283203,3.6485071182250977,0.06378650665283203,3.6485071182250977,1,True,28
ExtraTrees_r42_BAG_L2,0.8904208021582485,roc_auc,3.733736991882324,473.87466859817505,0.29631614685058594,1.5897471904754639,2,True,71
NeuralNetTorch_r79_BAG_L1,0.8901880519946205,roc_auc,0.10367512702941895,52.40163493156433,0.10367512702941895,52.40163493156433,1,True,12
NeuralNetTorch_r41_BAG_L2,0.8900955385067628,roc_auc,3.6172502040863037,502.72714400291443,0.17982935905456543,30.442222595214844,2,True,90
RandomForestGini_BAG_L2,0.8896794350263142,roc_auc,3.7327191829681396,475.1593897342682,0.29529833793640137,2.8744683265686035,2,True,56
LightGBM_r94_BAG_L1,0.8892229405778727,roc_auc,0.12570452690124512,4.619796514511108,0.12570452690124512,4.619796514511108,1,True,48
LightGBMXT_BAG_L1,0.8891900412258846,roc_auc,0.05942964553833008,4.612941265106201,0.05942964553833008,4.612941265106201,1,True,1
LightGBM_r96_BAG_L1,0.8890920445126956,roc_auc,0.3766357898712158,9.674710273742676,0.3766357898712158,9.674710273742676,1,True,15
NeuralNetTorch_r86_BAG_L1,0.8890874539054414,roc_auc,0.10169649124145508,71.46822309494019,0.10169649124145508,71.46822309494019,1,True,26
NeuralNetTorch_r86_BAG_L2,0.8889930276645613,roc_auc,3.6217916011810303,523.5609319210052,0.184370756149292,51.276010513305664,2,True,79
NeuralNetTorch_r14_BAG_L2,0.8887527540057112,roc_auc,3.6129393577575684,496.3651475906372,0.17551851272583008,24.080226182937622,2,True,84
LightGBM_r143_BAG_L1,0.8884608041360351,roc_auc,0.09601736068725586,15.342317819595337,0.09601736068725586,15.342317819595337,1,True,45
NeuralNetTorch_r158_BAG_L1,0.8884018435241148,roc_auc,0.1669907569885254,268.69987630844116,0.1669907569885254,268.69987630844116,1,True,40
RandomForest_r39_BAG_L2,0.8879805915501139,roc_auc,3.715193033218384,486.6944489479065,0.2777721881866455,14.40952754020691,2,True,88
NeuralNetTorch_BAG_L1,0.8878439572258693,roc_auc,0.11644697189331055,55.18768358230591,0.11644697189331055,55.18768358230591,1,True,9
NeuralNetTorch_r197_BAG_L1,0.8877796249658773,roc_auc,0.09305882453918457,21.866288661956787,0.09305882453918457,21.866288661956787,1,True,42
XGBoost_r33_BAG_L1,0.8874697749158317,roc_auc,0.10207009315490723,10.990833282470703,0.10207009315490723,10.990833282470703,1,True,17
LightGBM_r188_BAG_L1,0.8867983029672633,roc_auc,0.08081865310668945,10.38022780418396,0.08081865310668945,10.38022780418396,1,True,22
RandomForest_r195_BAG_L2,0.8866628481740493,roc_auc,3.721841812133789,487.6390166282654,0.2844209671020508,15.354095220565796,2,True,74
XGBoost_r98_BAG_L1,0.8860076824449983,roc_auc,0.27146172523498535,24.061718940734863,0.27146172523498535,24.061718940734863,1,True,38
NeuralNetTorch_r14_BAG_L1,0.8853506677213586,roc_auc,0.09276461601257324,22.435773134231567,0.09276461601257324,22.435773134231567,1,True,31
LightGBM_r196_BAG_L1,0.885013513121916,roc_auc,1.7309587001800537,74.64357376098633,1.7309587001800537,74.64357376098633,1,True,34
LightGBM_r130_BAG_L1,0.8850015584155251,roc_auc,0.06065559387207031,7.245636463165283,0.06065559387207031,7.245636463165283,1,True,25
ExtraTrees_r4_BAG_L1,0.8847176899273692,roc_auc,0.23554134368896484,0.7932577133178711,0.23554134368896484,0.7932577133178711,1,True,52
LightGBM_r161_BAG_L1,0.8842755570662053,roc_auc,0.28046369552612305,29.618728399276733,0.28046369552612305,29.618728399276733,1,True,32
ExtraTrees_r172_BAG_L1,0.8835599483416416,roc_auc,0.2991292476654053,1.1247031688690186,0.2991292476654053,1.1247031688690186,1,True,29
RandomForest_r34_BAG_L1,0.8824308342928181,roc_auc,0.2225492000579834,3.009192705154419,0.2225492000579834,3.009192705154419,1,True,47
RandomForest_r127_BAG_L1,0.878849188318473,roc_auc,0.2523536682128906,5.204582691192627,0.2523536682128906,5.204582691192627,1,True,46
ExtraTrees_r42_BAG_L1,0.878499090756911,roc_auc,0.27954983711242676,0.9680655002593994,0.27954983711242676,0.9680655002593994,1,True,18
NeuralNetTorch_r158_BAG_L2,0.8776151438267539,roc_auc,3.632951021194458,516.8322124481201,0.19553017616271973,44.54729104042053,2,True,93
RandomForest_r39_BAG_L1,0.8770557751449157,roc_auc,0.2563960552215576,4.337688446044922,0.2563960552215576,4.337688446044922,1,True,35
RandomForestEntr_BAG_L1,0.8755696457444321,roc_auc,0.290729284286499,1.7102296352386475,0.290729284286499,1.7102296352386475,1,True,4
ExtraTreesEntr_BAG_L1,0.8739738996561477,roc_auc,0.31105780601501465,0.656670331954956,0.31105780601501465,0.656670331954956,1,True,7
RandomForestGini_BAG_L1,0.872870559954303,roc_auc,0.28983473777770996,1.6049237251281738,0.28983473777770996,1.6049237251281738,1,True,3
RandomForest_r195_BAG_L1,0.8727342603618374,roc_auc,0.26415348052978516,4.50130820274353,0.26415348052978516,4.50130820274353,1,True,21
ExtraTrees_r49_BAG_L1,0.8678699381501747,roc_auc,0.3125417232513428,0.6683712005615234,0.3125417232513428,0.6683712005615234,1,True,44
ExtraTreesGini_BAG_L1,0.8678699381501747,roc_auc,0.3216218948364258,0.6634624004364014,0.3216218948364258,0.6634624004364014,1,True,6
